Change Date,Rate (%)
30-Jun-04,1.25
10-Aug-04,1.5
21-Sep-04,1.75
10-Nov-04,2
14-Dec-04,2.25
2-Feb-05,2.5
22-Mar-05,2.75
3-May-05,3
30-Jun-05,3.25
9-Aug-05,3.5
20-Sep-05,3.75
1-Nov-05,4
13-Dec-05,4.25
31-Jan-06,4.5
28-Mar-06,4.75
10-May-06,5
29-Jun-06,5.25
18-Sep-07,4.75
31-Oct-07,4.5
11-Dec-07,4.25
22-Jan-08,3.5
30-Jan-08,3
18-Mar-08,2.25
30-Apr-08,2
8-Oct-08,1.5
29-Oct-08,1
16-Dec-08,0 - 0.25
Date of Rate Change,Rate (%)
16-Dec-15,0.25 - 0.5
14-Dec-16,0.5 - 0.75
15-Mar-17,0.75 - 1.00
14-Jun-17,1.00 - 1.25
13-Dec-17,1.25 - 1.50
21-Mar-18,1.50 - 1.75
13-Jun-18,1.75 - 2.00
26-Sep-18,2.00 - 2.25
19-Dec-18,2.25 - 2.50